code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0931198X,Lycée professionnel Alfred Costes,lycée professionnel,public,Créteil,93,Bobigny,93008,93000,146 avenue Henri Barbusse,48.90870421236245,2.428207966993259
0941975L,Lycée Pierre Brossolette,lycée polyvalent,public,Créteil,94,Le Kremlin-Bicêtre,94043,94270,5 rue Pierre Brossolette,48.814998435549086,2.3593949795551112
0932260B,Lycée polyvalent Georges Brassens,lycée polyvalent,public,Créteil,93,Villepinte,93078,93420,3 bd de la Pépinière,48.95658796652309,2.5345864777464833
0940122X,Lycée polyvalent Condorcet,lycée polyvalent,public,Créteil,94,Saint-Maur-des-Fossés,94068,94214,1 avenue Condorcet,48.795848462976586,2.5119401789125138
0932123C,Lycée polyvalent André Sabatier,lycée polyvalent,public,Créteil,93,Bobigny,93008,93000,140 rue de la République,48.90760294292736,2.429229614654312
0771027Y,Lycée polyvalent Frédéric Joliot-Curie,lycée polyvalent,public,Créteil,77,Dammarie-les-Lys,77152,77190,168 rue F JOLIOT CURIE,48.519074047945075,2.648301348133944
0770933W,Lycée Jacques Amyot,lycée d'enseignement général et technologique,public,Créteil,77,Melun,77288,77000,6 bis rue Michelet,48.545460734625166,2.659210751824193
0931024H,Lycée professionnel Jean-Pierre Timbaud,lycée professionnel,public,Créteil,93,Aubervilliers,93001,93300,103 avenue de la République,48.90482942151991,2.391049172456102
0941474S,Lycée polyvalent Darius Milhaud,lycée polyvalent,public,Créteil,94,Le Kremlin-Bicêtre,94043,94276,80 rue DU PROFESSEUR BERGONIE,48.80228099461428,2.350712236765382
0932118X,Lycée polyvalent Jean Moulin,lycée polyvalent,public,Créteil,93,Le Blanc-Mesnil,93007,93150,2 avenue Charles de Gaulle,48.94360563734647,2.468681946930074
0932074Z,Lycée polyvalent Marcel Cachin,lycée polyvalent,public,Créteil,93,Saint-Ouen-sur-Seine,93070,93400,11 rue MARCEL CACHIN,48.91757977838111,2.338313850349661
0940112L,Lycée polyvalent Louise Michel,lycée polyvalent,public,Créteil,94,Champigny-sur-Marne,94017,94500,7 rue PIERRE MARIE DERRIEN,48.81689804996231,2.4955995038961625
0940126B,Lycée polyvalent Maximilien Perret,lycée polyvalent,public,Créteil,94,Alfortville,94002,94141,Place SAN BENEDETTO DEL TRONTO,48.78664176268498,2.4237637613102048
0770943G,Lycée professionnel Benjamin Franklin,lycée professionnel,public,Créteil,77,La Rochette,77389,77000,Rue DE LA FORET - LA ROCHETTE,48.50937890988075,2.6634363481038346
0932282A,Lycée polyvalent Léo Lagrange,lycée polyvalent,public,Créteil,93,Bondy,93010,93140,29 RUE GEORGES ELIE,48.906196397624925,2.4915023903058637
