code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon,velo_temps_s,transport_temps_s,velo_temps_min,transport_temps_min,temps_min_s,temps_min_min,zone
0770927P,Lycée international François 1er,lycée d'enseignement général,public,Créteil,77,Fontainebleau,77186,77300,11 rue Victor Hugo,48.40927224565216,2.6958841068316453,18116,5262.0,301.93333333333334,87.7,5262.0,87.7,Zone Sud Seine et Marne
0930122C,Lycée Condorcet,lycée d'enseignement général et technologique,public,Créteil,93,Montreuil,93048,93105,31 rue DESIRE CHEVALIER,48.85750093339525,2.445528654993236,2109,1992.0,35.15,33.2,1992.0,33.2,Zone Noisy le Grand
0770922J,Lycée Gaston Bachelard,lycée d'enseignement général et technologique,public,Créteil,77,Chelles,77108,77505,32 avenue de l'Europe,48.88331912136845,2.6127267806892163,6216,4113.0,103.6,68.55,4113.0,68.55,Zone Nord Seine et Marne
0932034F,Lycée Wolfgang Amadeus Mozart,lycée d'enseignement général et technologique,public,Créteil,93,Le Blanc-Mesnil,93007,93150,10 avenue Charles de Gaulle,48.94385962587952,2.4679598905818585,3631,3176.0,60.516666666666666,52.93333333333333,3176.0,52.93333333333333,Zone Bobigny
0930120A,Lycée Jacques Feyder,lycée d'enseignement général et technologique,public,Créteil,93,Épinay-sur-Seine,93031,93801,10 rue Henri Wallon,48.95509744548008,2.320839880589892,3166,2333.0,52.766666666666666,38.88333333333333,2333.0,38.88333333333333,Zone Saint Denis
0940129E,Lycée polyvalent Jean Macé,lycée polyvalent,public,Créteil,94,Vitry-sur-Seine,94081,94407,34 Rue Jules Ferry,48.80173033946394,2.400424524812669,2659,2472.0,44.31666666666667,41.2,2472.0,41.2,Zone Vitry sur Seine
0931198X,Lycée professionnel Alfred Costes,lycée professionnel,public,Créteil,93,Bobigny,93008,93000,146 avenue Henri Barbusse,48.90870421236245,2.428207966993259,2093,2564.0,34.88333333333333,42.73333333333333,2093.0,34.88333333333333,Zone Bobigny
0941975L,Lycée Pierre Brossolette,lycée polyvalent,public,Créteil,94,Le Kremlin-Bicêtre,94043,94270,5 rue Pierre Brossolette,48.814998435549086,2.3593949795551112,2138,2585.0,35.63333333333333,43.083333333333336,2138.0,35.63333333333333,Zone Vitry sur Seine
0932260B,Lycée polyvalent Georges Brassens,lycée polyvalent,public,Créteil,93,Villepinte,93078,93420,3 bd de la Pépinière,48.95658796652309,2.534586477746484,5036,3560.0,83.93333333333334,59.333333333333336,3560.0,59.333333333333336,Zone Sevran
0940122X,Lycée polyvalent Condorcet,lycée polyvalent,public,Créteil,94,Saint-Maur-des-Fossés,94068,94214,1 avenue Condorcet,48.795848462976586,2.5119401789125138,4250,2594.0,70.83333333333333,43.23333333333333,2594.0,43.23333333333333,Zone Sucy en Brie
0932123C,Lycée polyvalent André Sabatier,lycée polyvalent,public,Créteil,93,Bobigny,93008,93000,140 rue de la République,48.90760294292736,2.429229614654312,2144,2593.0,35.733333333333334,43.21666666666667,2144.0,35.733333333333334,Zone Bobigny
0771027Y,Lycée polyvalent Frédéric Joliot-Curie,lycée polyvalent,public,Créteil,77,Dammarie-les-Lys,77152,77190,168 rue F JOLIOT CURIE,48.51907404794508,2.648301348133944,14215,4622.0,236.91666666666663,77.03333333333333,4622.0,77.03333333333333,Zone Sud Seine et Marne
0770933W,Lycée Jacques Amyot,lycée d'enseignement général et technologique,public,Créteil,77,Melun,77288,77000,6 bis rue Michelet,48.545460734625166,2.659210751824193,13777,5238.0,229.61666666666667,87.3,5238.0,87.3,Zone Sud Seine et Marne
0931024H,Lycée professionnel Jean-Pierre Timbaud,lycée professionnel,public,Créteil,93,Aubervilliers,93001,93300,103 avenue de la République,48.90482942151991,2.391049172456102,1480,1577.0,24.666666666666668,26.28333333333333,1480.0,24.666666666666668,Zone Saint Denis
0941474S,Lycée polyvalent Darius Milhaud,lycée polyvalent,public,Créteil,94,Le Kremlin-Bicêtre,94043,94276,80 rue DU PROFESSEUR BERGONIE,48.80228099461428,2.350712236765382,2628,3090.0,43.8,51.5,2628.0,43.8,Zone Vitry sur Seine
0932118X,Lycée polyvalent Jean Moulin,lycée polyvalent,public,Créteil,93,Le Blanc-Mesnil,93007,93150,2 avenue Charles de Gaulle,48.94360563734647,2.468681946930074,3645,3142.0,60.75,52.36666666666667,3142.0,52.36666666666667,Zone Bobigny
0932074Z,Lycée polyvalent Marcel Cachin,lycée polyvalent,public,Créteil,93,Saint-Ouen-sur-Seine,93070,93400,11 rue MARCEL CACHIN,48.91757977838111,2.338313850349661,1739,2359.0,28.98333333333333,39.31666666666667,1739.0,28.98333333333333,Zone Saint Denis
0940112L,Lycée polyvalent Louise Michel,lycée polyvalent,public,Créteil,94,Champigny-sur-Marne,94017,94500,7 rue PIERRE MARIE DERRIEN,48.81689804996231,2.4955995038961625,3676,3800.0,61.266666666666666,63.333333333333336,3676.0,61.266666666666666,Zone Champigny sur Marne
0940126B,Lycée polyvalent Maximilien Perret,lycée polyvalent,public,Créteil,94,Alfortville,94002,94141,Place SAN BENEDETTO DEL TRONTO,48.78664176268498,2.4237637613102048,3299,2566.0,54.98333333333333,42.766666666666666,2566.0,42.766666666666666,Zone Creteil
0770943G,Lycée professionnel Benjamin Franklin,lycée professionnel,public,Créteil,77,La Rochette,77389,77000,Rue DE LA FORET - LA ROCHETTE,48.50937890988075,2.6634363481038346,14531,,242.1833333333333,,14531.0,242.1833333333333,Zone Sud Seine et Marne
0932282A,Lycée polyvalent Léo Lagrange,lycée polyvalent,public,Créteil,93,Bondy,93010,93140,29 RUE GEORGES ELIE,48.906196397624925,2.491502390305864,3413,3355.0,56.88333333333333,55.91666666666666,3355.0,55.91666666666666,Zone Bobigny
0940113M,Lycée polyvalent Langevin Wallon,lycée polyvalent,public,Créteil,94,Champigny-sur-Marne,94017,94507,126 avenue Roger Salengro,48.816826741365325,2.498317131240832,3850,3016.0,64.16666666666667,50.266666666666666,3016.0,50.266666666666666,Zone Champigny sur Marne
